N,M
1,10
5,15
10,20
15,30
1,15
2,12
3,13
4,14
5,15
6,16
3,18
6,21
9,24
12,27
15,30
18,33
21,36
24,39
27,42
30,45
5,25
10,30
15,35
20,40
25,45
30,50
35,55
40,60
45,65
50,70
14,16
29,31
44,46
59,61
74,76
13,17
28,32
43,47
58,62
73,77
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
1,100
10,90
20,80
30,70
40,60
50,100
60,90
70,80
1,50
51,100
25,35
35,45
45,55
55,65
65,75
75,85
85,95
15,25
35,45
55,65
1,3
98,100
48,52
13,17
28,32
43,47
58,62
73,77
88,92
97,99
13,17
28,32
43,47
58,62
73,77
14,16
29,31
44,46
59,61
74,76
1,99
2,98
3,97
4,96
5,95
96,98
97,99
98,100
1,100
50,100
